,Raw Merge,Weave,DB Size,DB Density,User Activity,ECoRS,RoRS
,0.682175281,0.665646775,0.661013798,0.429454588,0.661013798,0.737607287,0.661013798
,0.502377951,0.53548015,0.606187642,0.469514682,0.606187642,0.559866204,0.606187642
,0.447728281,0.527339272,0.702447358,0.433852563,0.733938301,0.477768148,0.702447358
,0.400709642,0.422495361,0.227725397,0.327193012,0.583048021,0.492815303,0.579458399
,0.745602967,0.52674261,0.652674556,0.60576527,0.572561249,0.789145855,0.65536315
,0.540974529,0.376058449,0.65484557,0.544175329,0.65484557,0.652619077,0.65484557
,0.548395853,0.494966885,0.540388303,0.459817734,0.540388303,0.574237989,0.540388303
,0.534370217,0.462737557,0.588693738,0.548054837,0.588693738,0.595480424,0.588693738
,0.548950588,0.498213703,0.772167645,0.12007432,0.733114227,0.681196489,0.784172214
,0.554894525,0.476864061,0.598529091,0.439638032,0.598529091,0.697302209,0.598529091
,0.565947593,0.509078514,0.526621261,0.555083631,0.526621261,0.643636873,0.526621261
,0.570917631,0.516575211,0.667227084,0.380399764,0.57922399,0.649287902,0.697635328
,0.507956025,0.453348044,0.667651594,0.33884847,0.667651594,0.670618651,0.667651594
,0.458713562,0.436201976,0.516213072,0.399208206,0.51418023,0.56615663,0.550183549
,0.669576472,0.495304079,0.635978804,0.667862405,0.635978804,0.664939363,0.635978804
,0.466633743,0.421386787,0.46264438,0.339323164,0.499248495,0.496927998,0.572903987
Average,0.54662,0.48865,0.59256,0.44114,0.60595,0.62185,0.62638
